POI,lat[deg],lon[deg]
1031,76.8539,279
1032,76.8539,283.5
1033,76.8539,288
1034,76.8539,292.5
1035,76.8539,297
1036,76.8539,301.5
1037,76.8539,306
1038,76.8539,310.5
1039,76.8539,315
1040,76.8539,319.5
1041,76.8539,324
1042,76.8539,328.5
1043,76.8539,333
1044,76.8539,337.5
1045,76.8539,342
1046,76.8539,346.5
1047,76.8539,351
1048,76.8539,355.5
1049,-76.8539,0
1050,-76.8539,4.5
1051,-76.8539,9
1052,-76.8539,13.5
1053,-76.8539,18
1054,-76.8539,22.5
1055,-76.8539,27
1056,-76.8539,31.5
1057,-76.8539,36
1058,-76.8539,40.5
1059,-76.8539,45
1060,-76.8539,49.5
1061,-76.8539,54
1062,-76.8539,58.5
1063,-76.8539,63
1064,-76.8539,67.5
1065,-76.8539,72
1066,-76.8539,76.5
1067,-76.8539,81
1068,-76.8539,85.5
1069,-76.8539,90
1070,-76.8539,94.5
1071,-76.8539,99
1072,-76.8539,103.5
1073,-76.8539,108
1074,-76.8539,112.5
1075,-76.8539,117
1076,-76.8539,121.5
1077,-76.8539,126
1078,-76.8539,130.5
1079,-76.8539,135
1080,-76.8539,139.5
1081,-76.8539,144
1082,-76.8539,148.5
1083,-76.8539,153
1084,-76.8539,157.5
1085,-76.8539,162
1086,-76.8539,166.5
1087,-76.8539,171
1088,-76.8539,175.5
1089,-76.8539,180
1090,-76.8539,184.5
1091,-76.8539,189
1092,-76.8539,193.5
1093,-76.8539,198
1094,-76.8539,202.5
1095,-76.8539,207
1096,-76.8539,211.5
1097,-76.8539,216
1098,-76.8539,220.5
1099,-76.8539,225
1100,-76.8539,229.5
1101,-76.8539,234
1102,-76.8539,238.5
1103,-76.8539,243
1104,-76.8539,247.5
1105,-76.8539,252
1106,-76.8539,256.5
1107,-76.8539,261
1108,-76.8539,265.5
1109,-76.8539,270
1110,-76.8539,274.5
1111,-76.8539,279
1112,-76.8539,283.5
1113,-76.8539,288
1114,-76.8539,292.5
1115,-76.8539,297
1116,-76.8539,301.5
1117,-76.8539,306
1118,-76.8539,310.5
1119,-76.8539,315
1120,-76.8539,319.5
1121,-76.8539,324
1122,-76.8539,328.5
1123,-76.8539,333
1124,-76.8539,337.5
1125,-76.8539,342
1126,-76.8539,346.5
1127,-76.8539,351
1128,-76.8539,355.5
1129,75.8427,0
1130,75.8427,4.18605
1131,75.8427,8.37209
1132,75.8427,12.5581
1133,75.8427,16.7442
1134,75.8427,20.9302
1135,75.8427,25.1163
1136,75.8427,29.3023
1137,75.8427,33.4884
1138,75.8427,37.6744
1139,75.8427,41.8605
1140,75.8427,46.0465
1141,75.8427,50.2326
1142,75.8427,54.4186
1143,75.8427,58.6047
1144,75.8427,62.7907
1145,75.8427,66.9767
1146,75.8427,71.1628
1147,75.8427,75.3488
1148,75.8427,79.5349
1149,75.8427,83.7209
1150,75.8427,87.907
1151,75.8427,92.093
1152,75.8427,96.2791
1153,75.8427,100.465
1154,75.8427,104.651
1155,75.8427,108.837
1156,75.8427,113.023
1157,75.8427,117.209
1158,75.8427,121.395
1159,75.8427,125.581
1160,75.8427,129.767
1161,75.8427,133.953
1162,75.8427,138.14
1163,75.8427,142.326
1164,75.8427,146.512
1165,75.8427,150.698
1166,75.8427,154.884
1167,75.8427,159.07
1168,75.8427,163.256
1169,75.8427,167.442
1170,75.8427,171.628
1171,75.8427,175.814
1172,75.8427,180
1173,75.8427,184.186
1174,75.8427,188.372
1175,75.8427,192.558
1176,75.8427,196.744
1177,75.8427,200.93
1178,75.8427,205.116
1179,75.8427,209.302
1180,75.8427,213.488
1181,75.8427,217.674
1182,75.8427,221.86
1183,75.8427,226.047
1184,75.8427,230.233
1185,75.8427,234.419
1186,75.8427,238.605
1187,75.8427,242.791
1188,75.8427,246.977
1189,75.8427,251.163
1190,75.8427,255.349
1191,75.8427,259.535
1192,75.8427,263.721
1193,75.8427,267.907
1194,75.8427,272.093
1195,75.8427,276.279
1196,75.8427,280.465
1197,75.8427,284.651
1198,75.8427,288.837
1199,75.8427,293.023
1200,75.8427,297.209
1201,75.8427,301.395
1202,75.8427,305.581
1203,75.8427,309.767
1204,75.8427,313.953
1205,75.8427,318.14
1206,75.8427,322.326
1207,75.8427,326.512
1208,75.8427,330.698
1209,75.8427,334.884
