POI index,Mean of Ground Pixel Along-Track Resolution [m],Mean of Ground Pixel Cross-Track Resolution [m],Mean of SNR,Mean of DR,Mean of Noise-Equivalent Delta T [K],SD of Ground Pixel Along-Track Resolution [m],SD of Ground Pixel Cross-Track Resolution [m],SD of SNR,SD of DR,SD of Noise-Equivalent Delta T [K]
1040,29.94675186359809,30.274415867032893,401.5865982848421,11090.543100910782,,1.5741315242122083e-10,0.14595572583915228,258.5077413555666,12416.602674422935,
1120,29.946751863536317,30.121738928160866,540.5568931898666,18763.746117269162,,1.303616031110347e-10,0.1540511108231491,304.9749281476097,15410.02003646893,
1121,29.94675186348514,30.154825374126005,528.7146685964699,19426.420021817183,,1.2133922429670757e-10,0.1658816490301183,347.392300722885,14429.049642330894,
1122,29.946751863478184,30.233647841133408,425.49092798680493,11507.303753313165,,9.986780720135473e-11,0.22570363498393145,235.94283597417262,10320.62846661905,
1123,29.946751863440575,30.11455820388041,615.2713320802505,23324.152924833255,,1.4762138941726205e-10,0.1634664024356927,313.7940217278287,17737.679540111887,
1124,29.94675186349988,30.130668971690188,587.936192962762,21818.70905417837,,1.564390697154388e-10,0.1628456655445416,318.7699925855656,13024.531592246962,
1125,29.946751863432624,30.168399648804115,502.1264206295549,15558.537967553864,,7.189665256243696e-11,0.2271572654709044,258.87903477525384,14503.332527060595,
1126,29.94675186354329,30.10169523047744,541.3540885061785,19358.922488199103,,1.7047133908571094e-10,0.1716868497065339,324.7018372454956,16975.463317387323,
1127,29.946751863477143,30.068512510558485,513.7033596266795,18933.327197909945,,6.666429407983104e-11,0.1562319527298405,358.7457295809719,14612.44399224758,
1128,29.946751863476948,30.088834370612282,504.2611527519507,15394.09490820269,,1.2704553951142934e-10,0.19267011140608395,249.1402971915441,14939.994445244522,
1129,29.946751863472805,30.082486982545788,587.3535126691112,20990.193860990214,,1.698086501695702e-10,0.1726558187943284,289.3513702585417,15523.4342463412,
