POI index,Mean of Ground Pixel Along-Track Resolution [m],Mean of Ground Pixel Cross-Track Resolution [m],Mean of Sigma NEZ Nought [dB],Mean of Incidence angle [deg],Mean of Swath-width [km],SD of Ground Pixel Along-Track Resolution [m],SD of Ground Pixel Cross-Track Resolution [m],SD of Sigma NEZ Nought [dB],SD of Incidence angle [deg],SD of Swath-width [km]
429,4.904483745410657,25.427864095827935,-23.22804237651246,21.858401412969933,94.78434438390235,0.0004094249693794501,0.051144174114915515,0.001813111338062122,0.04622962110297254,0.08200019535634355
430,4.904728369308109,23.964134915117363,-22.862082377300514,23.26934948726632,94.7353488803401,nan,nan,nan,nan,nan
431,4.90451166059907,25.42698495269341,-23.228520597491855,21.8593087911131,94.7787525902364,0.00037848397272274533,0.09210054659044319,0.008954445629069784,0.08325708193257216,0.0758016208739243
432,4.904747845784214,23.9377647815386,-22.85546348687547,23.296495024066573,94.73144888744804,nan,nan,nan,nan,nan
433,4.904293880484769,25.515020788695193,-23.244342110024125,21.779860403678626,94.82236701897823,nan,nan,nan,nan,nan
434,4.904454556320381,25.558003723950474,-23.237385488327863,21.843672718909303,94.79019137302785,0.0004360932128158614,2.321742961756264,0.5477875618573471,2.0859417424111206,0.08734335884964904
435,4.904343345054536,25.538041604448512,-23.251180063036365,21.75922511096729,94.81245889665784,nan,nan,nan,nan,nan
436,4.904378445272176,24.395499599626906,-22.922343013844976,23.03206454859428,94.80543446969263,0.00034240720309837636,2.6170689997868077,0.6739947345007608,2.5441811925644995,0.0685781778491523
437,4.904722212734639,25.457563603929977,-23.180121385931187,22.135679161106957,94.73658169598328,9.483241213530223e-06,3.9566023898175624,0.9727341218820137,3.6199488714428485,0.001898959371275388
438,4.904413542146918,24.404573613727205,-22.92537164162587,23.024271829350212,94.79840385605316,0.000317166980962941,2.6292244080215506,0.6755308699088355,2.548677460784713,0.06352161291862408
439,4.904742837011587,25.43179163397632,-23.17447693294458,22.1584539205343,94.73245184669472,7.701674364426583e-06,3.946835159271107,0.9720163747432239,3.6187908242565596,0.0015421867410299699
440,4.904280482739322,24.69413627141011,-22.97866284654626,22.832076447456238,94.8250507708866,2.075309033276887e-05,3.6682742033350593,0.9499936983348587,3.581052167636866,0.004157123835653864
441,4.9047591062980445,25.404735221566327,-23.1683947701039,22.182450358534595,94.72919409735542,5.85433559517869e-06,3.9367954657883044,0.9713134120982032,3.617764355897452,0.001172259755597671
442,4.904455373862483,23.661132743317776,-22.705229028331825,23.894105544637387,94.79002261103516,0.00021750542944338366,3.1797133648543294,0.8296250436623358,3.153413286172727,0.043561146574162164
443,4.9045697888486375,24.677038717012152,-22.99208814593162,22.804359195970637,94.7671118388331,0.00034830586285401164,3.0302709901212768,0.7468879630930302,2.759093118968224,0.06975997326282322
444,4.904603427748928,23.33291848906407,-22.636600167120662,24.159202652380955,94.76037100514789,0.00020685026958182777,2.616820439963326,0.7111329294323187,2.7029811785913718,0.04142628713751374
445,4.904496904995663,25.707641277528474,-23.25016287822706,21.82641748606663,94.78170833733866,0.0003955721443498471,3.41192172218748,0.8365415378213489,3.044139328018911,0.07922491012631773
446,4.9047433062357815,23.908390899115304,-22.78903174148125,23.601682880227443,94.73235788901845,7.64958559123746e-06,3.3885529496816305,0.9272925614713498,3.545809149754401,0.0015317558935694948
447,4.904267072119879,23.314955922069174,-22.66821840824338,23.95719076979983,94.82773709598952,nan,nan,nan,nan,nan
448,4.9047594634635905,23.885098024590597,-22.783215173635,23.625338414906977,94.72912257926788,5.80091207602783e-06,3.380297643852775,0.9266620871598912,3.5446068233759607,0.001161562023735656
449,4.904316798485928,23.334358708345643,-22.674982622758346,23.936023517170845,94.81777632432377,nan,nan,nan,nan,nan
450,4.904570367313339,24.131682609424995,-22.86096807271048,23.28763882198834,94.76699596953377,0.0003477197792201495,2.429799718608631,0.6706641055096888,2.582597363679014,0.0696425492519727
451,4.904541334769488,24.027426166744892,-22.8685292968863,23.225538564986216,94.77280637980004,0.00024805080019542065,0.9520662252203963,0.26400247687449485,0.9742013552799639,0.04967769800654379
452,4.904497621113411,25.455908607985727,-23.230572595129885,21.85526040197724,94.78156488921724,0.00039478405699711733,1.0772361243604034,0.2759311425518903,0.9724485706610397,0.07906702788394095
453,4.904738400372339,24.675470072693834,-23.04931877895452,22.560927104540976,94.73334024054381,nan,nan,nan,nan,nan
454,4.9042683416343404,24.71716224569516,-23.045273841322626,22.52078089622309,94.82748279256764,nan,nan,nan,nan,nan
455,4.904755750180534,24.65031311480031,-23.0433112064664,22.585222598648453,94.72986611875844,nan,nan,nan,nan,nan
456,4.9043180584832005,24.739850807152944,-23.05234129005831,22.498995374204405,94.817523937234,nan,nan,nan,nan,nan
457,4.904469380418398,25.461613255660886,-23.230276101947247,21.85464735281242,94.7872218938368,0.0004232059552770245,1.182217725033674,0.27289954095940405,1.0669355536272236,0.08476123060756145
458,4.904542259001017,24.031363689454807,-22.868795463222504,23.22533667050233,94.77262127304492,0.0002475974665770964,1.034999399034222,0.2697783577995587,1.0588696124175798,0.04958687170841854
459,4.9043957087469865,24.151653232040626,-22.860412386395968,23.265783820040003,94.80197623060708,0.00033047183260722485,2.4292319932125044,0.6722276216692191,2.5641069688669567,0.06618701225015322
460,4.904738894214469,23.27796731461092,-22.67247254837489,23.99765050163512,94.73324135304334,nan,nan,nan,nan,nan
461,4.904254924837913,23.948137545612713,-22.783274647594922,23.560794887040608,94.83017041483447,2.077732102140745e-05,3.3987549104134027,0.9299349512533661,3.5436804877156156,0.004162061493367596
462,4.904756134156407,23.256015368681968,-22.666674037539558,24.0217293769968,94.72978923205359,nan,nan,nan,nan,nan
463,4.904304710976505,23.969840010847733,-22.791641944068367,23.53895684458734,94.82019757451273,2.0673231898554233e-05,3.4069232036968704,0.9288166402236991,3.5452876468518033,0.004141047973173792
464,4.904470150287871,25.72379638642102,-23.250422118283474,21.82593085001151,94.78706767788267,0.00042249529173860083,3.520426170008593,0.8337544554500632,3.1388045543590506,0.08461884493172216
465,4.904475321488971,23.356175797016647,-22.637959202498223,24.138847879768946,94.78602725938208,0.00021060088661773162,2.6531800599622253,0.7136802159512953,2.728935553911898,0.04217773475651371
466,4.904396604324734,24.705711575181805,-22.991933378148033,22.782845109326107,94.80179682828039,0.00032982789957010925,3.077349708171432,0.7467211631764822,2.788302468225618,0.06605800829482805
467,4.904618321703982,23.632860359579706,-22.70419314346537,23.91596765899844,94.75738816054154,0.00019927839633914103,3.132061655463782,0.8262138617256701,3.1131035433611984,0.039909317658026
468,4.904256197269175,25.47681031846554,-23.168928014472417,22.11802022294139,94.82991552471344,2.0796552110162522e-05,3.95951938453437,0.9748272873803632,3.616689159334208,0.004165909632346546
