POI,lat[deg],lon[deg]
821,72.8571,24.6575
822,72.8571,29.589
823,72.8571,34.5205
824,72.8571,39.4521
825,72.8571,44.3836
826,72.8571,49.3151
827,72.8571,54.2466
828,72.8571,59.1781
829,72.8571,64.1096
830,72.8571,69.0411
831,72.8571,73.9726
832,72.8571,78.9041
833,72.8571,83.8356
834,72.8571,88.7671
835,72.8571,93.6986
836,72.8571,98.6301
837,72.8571,103.562
838,72.8571,108.493
839,72.8571,113.425
840,72.8571,118.356
841,72.8571,123.288
842,72.8571,128.219
843,72.8571,133.151
844,72.8571,138.082
845,72.8571,143.014
846,72.8571,147.945
847,72.8571,152.877
848,72.8571,157.808
849,72.8571,162.74
850,72.8571,167.671
851,72.8571,172.603
852,72.8571,177.534
853,72.8571,182.466
854,72.8571,187.397
855,72.8571,192.329
856,72.8571,197.26
857,72.8571,202.192
858,72.8571,207.123
859,72.8571,212.055
860,72.8571,216.986
861,72.8571,221.918
862,72.8571,226.849
863,72.8571,231.781
864,72.8571,236.712
865,72.8571,241.644
866,72.8571,246.575
867,72.8571,251.507
868,72.8571,256.438
869,72.8571,261.37
870,72.8571,266.301
871,72.8571,271.233
872,72.8571,276.164
873,72.8571,281.096
874,72.8571,286.027
875,72.8571,290.959
876,72.8571,295.89
877,72.8571,300.822
878,72.8571,305.753
879,72.8571,310.685
880,72.8571,315.616
881,72.8571,320.548
882,72.8571,325.479
883,72.8571,330.411
884,72.8571,335.342
885,72.8571,340.274
886,72.8571,345.205
887,72.8571,350.137
888,72.8571,355.068
889,-72.8571,0
890,-72.8571,4.93151
891,-72.8571,9.86301
892,-72.8571,14.7945
893,-72.8571,19.726
894,-72.8571,24.6575
895,-72.8571,29.589
896,-72.8571,34.5205
897,-72.8571,39.4521
898,-72.8571,44.3836
899,-72.8571,49.3151
900,-72.8571,54.2466
901,-72.8571,59.1781
902,-72.8571,64.1096
903,-72.8571,69.0411
904,-72.8571,73.9726
905,-72.8571,78.9041
906,-72.8571,83.8356
907,-72.8571,88.7671
908,-72.8571,93.6986
909,-72.8571,98.6301
910,-72.8571,103.562
911,-72.8571,108.493
912,-72.8571,113.425
913,-72.8571,118.356
914,-72.8571,123.288
915,-72.8571,128.219
916,-72.8571,133.151
917,-72.8571,138.082
918,-72.8571,143.014
919,-72.8571,147.945
920,-72.8571,152.877
921,-72.8571,157.808
922,-72.8571,162.74
923,-72.8571,167.671
924,-72.8571,172.603
925,-72.8571,177.534
926,-72.8571,182.466
927,-72.8571,187.397
928,-72.8571,192.329
929,-72.8571,197.26
930,-72.8571,202.192
931,-72.8571,207.123
932,-72.8571,212.055
933,-72.8571,216.986
934,-72.8571,221.918
935,-72.8571,226.849
936,-72.8571,231.781
937,-72.8571,236.712
938,-72.8571,241.644
939,-72.8571,246.575
940,-72.8571,251.507
941,-72.8571,256.438
942,-72.8571,261.37
943,-72.8571,266.301
944,-72.8571,271.233
945,-72.8571,276.164
946,-72.8571,281.096
947,-72.8571,286.027
948,-72.8571,290.959
949,-72.8571,295.89
950,-72.8571,300.822
951,-72.8571,305.753
952,-72.8571,310.685
953,-72.8571,315.616
954,-72.8571,320.548
955,-72.8571,325.479
956,-72.8571,330.411
957,-72.8571,335.342
958,-72.8571,340.274
959,-72.8571,345.205
960,-72.8571,350.137
961,-72.8571,355.068
962,71.4286,0
963,71.4286,4.55696
964,71.4286,9.11392
965,71.4286,13.6709
966,71.4286,18.2278
967,71.4286,22.7848
968,71.4286,27.3418
969,71.4286,31.8987
970,71.4286,36.4557
971,71.4286,41.0127
972,71.4286,45.5696
973,71.4286,50.1266
974,71.4286,54.6835
975,71.4286,59.2405
976,71.4286,63.7975
977,71.4286,68.3544
978,71.4286,72.9114
979,71.4286,77.4684
980,71.4286,82.0253
981,71.4286,86.5823
982,71.4286,91.1392
983,71.4286,95.6962
984,71.4286,100.253
985,71.4286,104.81
986,71.4286,109.367
987,71.4286,113.924
988,71.4286,118.481
989,71.4286,123.038
990,71.4286,127.595
991,71.4286,132.152
992,71.4286,136.709
993,71.4286,141.266
994,71.4286,145.823
995,71.4286,150.38
996,71.4286,154.937
997,71.4286,159.494
998,71.4286,164.051
999,71.4286,168.608
1000,71.4286,173.165
1001,71.4286,177.722
1002,71.4286,182.278
1003,71.4286,186.835
1004,71.4286,191.392
1005,71.4286,195.949
1006,71.4286,200.506
1007,71.4286,205.063
1008,71.4286,209.62
1009,71.4286,214.177
1010,71.4286,218.734
1011,71.4286,223.291
1012,71.4286,227.848
1013,71.4286,232.405
1014,71.4286,236.962
1015,71.4286,241.519
1016,71.4286,246.076
1017,71.4286,250.633
1018,71.4286,255.19
1019,71.4286,259.747
1020,71.4286,264.304
1021,71.4286,268.861
1022,71.4286,273.418
1023,71.4286,277.975
1024,71.4286,282.532
1025,71.4286,287.089
1026,71.4286,291.646
1027,71.4286,296.203
1028,71.4286,300.759
1029,71.4286,305.316
1030,71.4286,309.873
1031,71.4286,314.43
1032,71.4286,318.987
1033,71.4286,323.544
1034,71.4286,328.101
1035,71.4286,332.658
1036,71.4286,337.215
1037,71.4286,341.772
1038,71.4286,346.329
1039,71.4286,350.886
1040,71.4286,355.443
1041,-71.4286,0
1042,-71.4286,4.55696
1043,-71.4286,9.11392
1044,-71.4286,13.6709
1045,-71.4286,18.2278
1046,-71.4286,22.7848
1047,-71.4286,27.3418
1048,-71.4286,31.8987
1049,-71.4286,36.4557
1050,-71.4286,41.0127
1051,-71.4286,45.5696
1052,-71.4286,50.1266
1053,-71.4286,54.6835
1054,-71.4286,59.2405
1055,-71.4286,63.7975
1056,-71.4286,68.3544
1057,-71.4286,72.9114
1058,-71.4286,77.4684
1059,-71.4286,82.0253
1060,-71.4286,86.5823
1061,-71.4286,91.1392
1062,-71.4286,95.6962
1063,-71.4286,100.253
1064,-71.4286,104.81
1065,-71.4286,109.367
1066,-71.4286,113.924
1067,-71.4286,118.481
1068,-71.4286,123.038
1069,-71.4286,127.595
1070,-71.4286,132.152
1071,-71.4286,136.709
1072,-71.4286,141.266
1073,-71.4286,145.823
1074,-71.4286,150.38
1075,-71.4286,154.937
1076,-71.4286,159.494
1077,-71.4286,164.051
1078,-71.4286,168.608
1079,-71.4286,173.165
1080,-71.4286,177.722
1081,-71.4286,182.278
1082,-71.4286,186.835
1083,-71.4286,191.392
1084,-71.4286,195.949
1085,-71.4286,200.506
1086,-71.4286,205.063
1087,-71.4286,209.62
1088,-71.4286,214.177
1089,-71.4286,218.734
1090,-71.4286,223.291
1091,-71.4286,227.848
1092,-71.4286,232.405
1093,-71.4286,236.962
1094,-71.4286,241.519
1095,-71.4286,246.076
1096,-71.4286,250.633
1097,-71.4286,255.19
1098,-71.4286,259.747
1099,-71.4286,264.304
1100,-71.4286,268.861
1101,-71.4286,273.418
1102,-71.4286,277.975
1103,-71.4286,282.532
1104,-71.4286,287.089
1105,-71.4286,291.646
1106,-71.4286,296.203
1107,-71.4286,300.759
1108,-71.4286,305.316
1109,-71.4286,309.873
1110,-71.4286,314.43
1111,-71.4286,318.987
1112,-71.4286,323.544
1113,-71.4286,328.101
1114,-71.4286,332.658
1115,-71.4286,337.215
1116,-71.4286,341.772
1117,-71.4286,346.329
1118,-71.4286,350.886
1119,-71.4286,355.443
1120,70,0
1121,70,4.23529
1122,70,8.47059
1123,70,12.7059
1124,70,16.9412
1125,70,21.1765
1126,70,25.4118
1127,70,29.6471
1128,70,33.8824
1129,70,38.1176
1130,70,42.3529
1131,70,46.5882
1132,70,50.8235
1133,70,55.0588
1134,70,59.2941
1135,70,63.5294
1136,70,67.7647
1137,70,72
1138,70,76.2353
